George R. R. Martin,United States,Bayonne,1948-09-20,nan,male
Ojos,no data,no data,no data,nan,no data
Onda Moderna,no data,no data,no data,nan,no data
Paraísos,Colombia,Barranquilla,2019,nan,no data
no data,no data,no data,no data,no data,no data
Connecta,Germany,no data,no data,nan,no data
Timo Weisschnur,Germany,Hamburg,1989,nan,male
Campo-Formio,no data,no data,no data,nan,no data
Jedi,United Kingdom,no data,no data,nan,male
Tainy,Puerto Rico,San Juan,1989-08-09,nan,male
Blessd,Colombia,Antioquia,2000-01-27,nan,male
Sensation,no data,no data,no data,nan,no data
Indigo Girls,United States,Atlanta,1985,nan,no data
Spam Allstars,United States,no data,1998,nan,no data
La Mejor Música Electrónica,no data,no data,no data,nan,no data
The Beach Boys,United States,Hawthorne,1961,nan,no data
The G,Los Angeles,no data,no data,nan,no data
Un.Real,Puerto Rico,no data,no data,nan,no data
Flashers,no data,no data,no data,nan,no data
Jhayco,Puerto Rico,Las Piedras,1993-04-09,nan,male
Cafe Latino,no data,no data,no data,nan,no data
Tropiezo,Puerto Rico,no data,no data,nan,no data
Polanco,no data,no data,no data,nan,male
Michelle,Germany,Villingen-Schwenningen,1972-02-15,nan,female
Como Las Movies,Austin,no data,no data,nan,no data
Muchacha,no data,no data,no data,nan,no data
The Astronauts,United States,Boulder,1961,True,no data
SLVG,Greece,no data,no data,nan,male
no data,no data,no data,no data,no data,no data
no data,no data,no data,no data,no data,no data
Kumbia Queers,Argentina,Buenos Aires,2007,nan,no data
Spam Allstars,United States,no data,1998,nan,no data
Cabas,Colombia,Barranquilla,1977-10-07,nan,male
Turista,no data,no data,no data,nan,no data
Chuck Berry,United States,St. Louis,1926-10-18,True,male
Tropa,no data,no data,no data,nan,no data
Música Latina,no data,no data,no data,nan,no data
Salsaloco de Cuba,Cuba,no data,no data,nan,no data
kamome sano,Japan,no data,no data,nan,female
Bosques,Argentina,no data,no data,nan,no data
Badshah,India,no data,no data,nan,male
Sukha,Toronto,no data,no data,nan,no data
Various Artists,no data,no data,no data,nan,no data
Dimensión Latina,Venezuela,no data,1972,nan,no data
Daddy Yankee,Puerto Rico,San Juan,1977-02-03,nan,male
Dave Brubeck,United States,Concord,1920-12-06,True,male
Aliss Terrell,France,no data,no data,nan,female
Tito “El Bambino”,Puerto Rico,Carolina,1981-10-05,nan,male
Anti Sociales,Puerto Rico,no data,no data,nan,no data
Juventud Crasa,Puerto Rico,no data,1999,nan,no data
Bairoa,Puerto Rico,no data,no data,nan,male
De Romantica’s,Netherlands,no data,no data,nan,no data
UNRB,United States,St. Petersburg,2010,nan,no data
Tracks,York,no data,no data,nan,male
Anitta,Brazil,Rio de Janeiro,1993-03-30,nan,female
Lalo Ebratt,Colombia,Santa Marta,1993-02-03,nan,male
Frontera Bugalú,El Paso,no data,no data,nan,no data
Juanes,Colombia,Medellín,1972-08-09,nan,male
Myke Towers,Puerto Rico,Río Piedras,1994-01-15,nan,male
Ovy on the Drums,Colombia,no data,no data,nan,male
Reik,Mexico,Mexicali,2003,nan,no data
no data,no data,no data,no data,no data,no data
Playlist,no data,no data,no data,nan,no data
Matt Lucas,United Kingdom,Paddington,1974-03-05,nan,male
Rema,Nigeria,Nigeria,2000-05-01,nan,male
Sean Paul,Jamaica,Kingston,1973-01-09,nan,male
Elaine Paige,United Kingdom,Barnet,1948-03-05,nan,female
Lele Pons,Venezuela,Caracas,1996-07-25,nan,female
Tavú,no data,no data,1996,nan,no data
Monstercat,Vancouver,Vancouver,2011-07-01,nan,no data
Reykon,Colombia,Envigado,1986-12-12,nan,male
Marisa Monte,Brazil,Rio de Janeiro,1967-07-01,nan,female
Jerry Goldsmith,United States,Pasadena,1929-02-10,True,male
NORWAYY,Guadalajara,no data,no data,nan,no data
Lugo,no data,no data,no data,nan,male
Bruce Springsteen,United States,Long Branch,1949-09-23,nan,male
Kefas Brand,Kampala,no data,2001-04-24,nan,male
Kran Max,no data,no data,no data,nan,no data
Maná,Mexico,Guadalajara,1986,nan,no data
RANDO:,Japan,no data,no data,nan,male
Maria McCausland,no data,no data,no data,nan,female
Shonny,no data,no data,no data,nan,no data
Bruna Loppez,Italy,no data,no data,nan,no data
Boundary,Santo Domingo,no data,no data,nan,male
Animal Collective,United States,Baltimore,2000,nan,no data
Demian Von Dunkelwald,no data,no data,no data,nan,male
Ragazzi,Germany,no data,1999,nan,no data
La Cantina,Toulouse,no data,no data,nan,male
Besos,no data,no data,no data,nan,no data
MOÜGLI,Colombia,Colombia,2015-01-01,nan,no data
Destro,United States,no data,no data,nan,male
LoCura,United States,San Francisco,no data,nan,no data
Valentina Lisitsa,United States,Kyïv,1973-12-11,nan,female
[unknown],[Worldwide],no data,no data,nan,not applicable
Ñejo,Puerto Rico,no data,1975-06-20,nan,male
The Marías,Los Angeles,Los Angeles,2016,nan,no data
Un Final Fatal,Puerto Rico,no data,no data,nan,no data
Romy,United Kingdom,no data,no data,nan,female
Sisah,no data,no data,no data,nan,no data
De Luna,no data,no data,no data,nan,no data
Llane,Colombia,Antioquia,1990-01-20,nan,male
Rico Rodriguez,Jamaica,La Habana,1934-10-17,True,male
Deuce Eclipse,no data,no data,no data,nan,no data
John Williams,United States,Flushing,1932-02-08,nan,male
Lola Pistola,Puerto Rico,no data,no data,nan,female
Various Artists,no data,no data,no data,nan,no data
Elegante,Peru,no data,no data,nan,no data
Marshmello,United States,Philadelphia,1992-05-19,nan,male
no data,no data,no data,no data,no data,no data
Álvaro Díaz,Puerto Rico,San Juan,1995-07-25,nan,male
Ela Minus,Brooklyn,Bogotá,1990-02-11,nan,female
Goth Babe,no data,no data,no data,nan,no data
Elsa y Elmar,Mexico,Bucaramanga,1993-07-31,nan,female
Gizmo Varillas,United Kingdom,Santander,1990-01-09,nan,male
Brytiago,Puerto Rico,Carolina,1992-07-14,nan,male
Chromeo,Canada,Montréal,2001,nan,no data
Miami Sound Machine,United States,no data,1975,nan,no data
Calva Louise,Manchester,London,2016,nan,no data
Twin Seas,Los Angeles,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Doña,no data,no data,no data,nan,no data
Mabe Fratti,Ciudad de México,Guatemala City,1992,nan,female
Lido Pimienta,Canada,Barranquilla,1986-09-22,nan,female
Klik,no data,no data,no data,nan,no data
Ramona,Tijuana,no data,no data,nan,no data
Ximena Sariñana,Mexico,Guadalajara,1985-10-29,nan,female
Various Artists,no data,no data,no data,nan,no data
Lenny Tavárez,Puerto Rico,no data,1987-05-19,nan,male
