Don Toliver,United States,Houston,1994-06-12,nan,male
no data,no data,no data,no data,no data,no data
Young Thug,United States,Atlanta,1991-08-16,nan,male
Rob Inglis,Australia,no data,1933,nan,male
Les Schtroumpfs,no data,no data,1958,nan,not applicable
Various Artists,no data,no data,no data,nan,no data
Iggy Azalea,United States,Sydney,1990-06-07,nan,female
The Notorious B.I.G.,United States,Clinton Hill,1972-05-21,True,male
Lil Uzi Vert,United States,Francisville,1995-07-31,nan,non-binary
112,United States,Atlanta,1996,nan,no data
R+R=NOW,United States,no data,no data,nan,no data
Hip-Hop,Denmark,no data,no data,nan,no data
2 Chainz,United States,College Park,1976-09-10,nan,male
Erin Hunter,no data,no data,no data,nan,female
Pop Smoke,United States,Canarsie,1999-07-20,True,male
no data,no data,no data,no data,no data,no data
Nicki Minaj,United States,Saint James,1982-12-08,nan,female
Marsh,United States,United Kingdom,1992-02-18,nan,male
Joey Cool,no data,no data,no data,nan,no data
Endless Endless Endless,no data,no data,no data,nan,no data
Rap Caviar,no data,no data,no data,nan,no data
Don Gibson,United States,Shelby,1928-04-03,True,male
Seong-Nam,no data,no data,no data,nan,no data
"Emerson, Lake & Palmer",United Kingdom,Bournemouth,1970,True,no data
no data,no data,no data,no data,no data,no data
Playlist,no data,no data,no data,nan,no data
D. J. MacHale,United States,Port Chester,1955-03-11,nan,male
Sarah Sutton,United Kingdom,Basingstoke,1961-12-12,nan,female
Boldy James,Detroit,Atlanta,1982-08-09,nan,male
Juice WRLD,United States,Chicago,1998-12-02,True,male
Lor,Kraków,Kraków,2015,nan,no data
A2,no data,no data,no data,nan,male
Jigmastas,United States,Brooklyn,1996,nan,no data
Leschea,no data,no data,no data,nan,female
FastMoney Ant,no data,no data,no data,nan,male
Charlie Parker,United States,Kansas City,1920-08-29,True,male
Hip-Hop,Denmark,no data,no data,nan,no data
Bob Dylan,United States,Duluth,1941-05-24,nan,male
no data,no data,no data,no data,no data,no data
Lental,no data,no data,no data,nan,no data
Wu‐Tang Clan,United States,Staten Island,1992,nan,no data
Glenn Miller,United States,Clarinda,1904-03-01,True,male
no data,no data,no data,no data,no data,no data
H.I.P.H.O.P.,no data,no data,no data,nan,no data
Top Hits,no data,no data,no data,nan,no data
H.I.P.H.O.P.,no data,no data,no data,nan,no data
Digital,United Kingdom,Ipswich,no data,nan,male
no data,no data,no data,no data,no data,no data
Megan Thee Stallion,United States,San Antonio,1995-02-15,nan,female
YEAR OF THE OX,United States,United States,no data,nan,no data
Hip Hop for the World,[Worldwide],no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Mike Shinoda,United States,Panorama City,1977-02-11,nan,male
[unknown],[Worldwide],no data,no data,nan,not applicable
JAY‐Z,United States,Brooklyn,1969-12-04,nan,male
no data,no data,no data,no data,no data,no data
midwxst,no data,Indiana,2003-06-05,nan,male
Language Arts Crew,no data,no data,no data,nan,no data
Wu‐Tang Clan,United States,Staten Island,1992,nan,no data
Tierra Whack,United States,Philadelphia,1995-08-11,nan,female
HOYO-MiX,China,no data,2011,nan,no data
Finesse2tymes,United States,no data,1992-06-10,nan,male
The Game,United States,Los Angeles,1979-11-27,nan,male
Lifesavas,United States,Portland,1997,nan,no data
Mary J. Blige,United States,The Bronx,1971-01-11,nan,female
Hip Hop Kclan,United States,no data,no data,nan,no data
Yung Gravy,United States,Rochester,1996-03-19,nan,male
Rich Scripps,Michigan,no data,no data,nan,male
