,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
292,LE SSERAFIM,Good Parts (when the quality is bad but I am),track,ANTIFRAGILE,5,2022-10-17
293,Cults,Gilded Lily - Sped Up,track,Offering,13,2022-10-26
294,Punctual,Do It All Again,track,Do It All Again,1,2022-02-11
295,Jung Kook,My You,track,My You,1,2022-06-13
296,BLACKPINK,Pink Venom,track,Pink Venom,1,2022-08-19
297,Bette Midler,One Way or Another (Hocus Pocus 2 Version),track,Hocus Pocus 2 (Original Soundtrack),28,2022-09-30
298,Chase Matthew,Love You Again,track,Love You Again,1,2022-12-09
299,Lil Durk,Mad Max,track,Lil Durk Presents: Loyal Bros 2,23,2022-12-16
300,Taylor Swift,"You're On Your Own, Kid",track,Midnights (3am Edition),20,2022-10-22
301,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
302,Ski Mask The Slump God,OOGA BOOGA!,track,OOGA BOOGA!,1,2022-10-25
303,MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),track,Bad Memories (feat. Elley Duhé & FAST BOY),1,2022-07-22
304,Lady Gaga,Hold My Hand,track,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-05-03
305,Big Thief,Change,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
306,d4vd,Dirty Secrets,track,Dirty Secrets,1,2022-04-27
307,ENHYPEN,Future Perfect (Pass the MIC),track,MANIFESTO : DAY 1,6,2022-07-04
308,Huey Mack,Carry Me Home (feat. Charles Wesley Godwin),track,The Cozy Bar,14,2022-10-21
309,Fireboy DML,Peru,track,Playboy,14,2022-08-04
310,Post Malone,Waiting For Never,track,Twelve Carat Toothache (Deluxe),16,2022-06-07
311,Drake,A Keeper,track,"Honestly, Nevermind",14,2022-06-17
312,Izzamuzzic,Shootout,track,Shootout,1,2022-06-30
313,Yuridia,¿Y Qué Tal Si Funciona?,track,Pa' Luego Es Tarde,14,2022-10-20
314,Connor Price,Chatter,track,Chatter,1,2022-12-02
315,Fujii Kaze,Matsuri,track,LOVE ALL SERVE ALL,11,2022-03-23
316,Tyga,Freaky Deaky,track,Freaky Deaky,1,2022-02-25
317,beabadoobee,10:36,track,Beatopia,14,2022-07-15
318,Josh Ross,First Taste of Gone,track,First Taste of Gone,1,2022-02-11
319,BLACKPINK,Shut Down,track,BORN PINK,8,2022-09-16
320,Rauw Alejandro,LOKERA,track,LOKERA,1,2022-07-25
321,Conan Gray,Yours,track,Superache,12,2022-06-24
322,Fireboy DML,Bandana,track,Playboy,14,2022-08-04
323,Oxlade,KU LO SA - A COLORS SHOW,track,KU LO SA - A COLORS SHOW,1,2022-06-10
324,Taylor Swift,Bejeweled,track,Midnights (3am Edition),20,2022-10-22
325,Río Roma,Tú Me Gustas,track,Tú Me Gustas,1,2022-03-04
326,Ashley Cooke,never til now,track,Already Drank That Beer,9,2022-04-01
327,Memphis May Fire,Make Believe,track,Make Believe,7,2022-02-18
328,Muscadine Bloodline,Dyin' For a Livin',track,Dispatch to 16th Ave.,9,2022-02-04
329,The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),track,Loved You A Little (with Taking Back Sunday and Charlotte Sands),1,2022-01-20
330,Tom Odell,Best Day Of My Life,track,Best Day of My Life,12,2022-10-28
331,Kidd G,People Talk,track,People Talk,1,2022-04-15
332,Cordae,Super,track,From a Birds Eye View,14,2022-01-14
333,Post Malone,Wasting Angels (with The Kid LAROI),track,Twelve Carat Toothache,14,2022-06-03
334,Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",track,MAXIDENT,8,2022-10-07
335,Beyoncé,MOVE (feat. Grace Jones & Tems),track,RENAISSANCE,16,2022-07-29
336,GRAHAM,Mad It's My Fault,track,Mad It's My Fault,1,2022-07-08
337,Chase Matthew,Can't Hide Love,track,Born for This,12,2022-02-11
338,Benson Boone,Work of Art,track,Walk Me Home...,8,2022-07-29
339,Dylan Schneider,Ain't Missin' You,track,Ain't Missin' You,1,2022-09-16
340,LE SSERAFIM,ANTIFRAGILE,track,ANTIFRAGILE,5,2022-10-17
341,Porter Robinson,Everything Goes On,track,Everything Goes On,1,2022-07-14
342,LE SSERAFIM,Good Parts (when the quality is bad but I am),track,ANTIFRAGILE,5,2022-10-17
343,Cults,Gilded Lily - Sped Up,track,Offering,13,2022-10-26
344,Punctual,Do It All Again,track,Do It All Again,1,2022-02-11
345,Jung Kook,My You,track,My You,1,2022-06-13
346,BLACKPINK,Pink Venom,track,Pink Venom,1,2022-08-19
347,Bette Midler,One Way or Another (Hocus Pocus 2 Version),track,Hocus Pocus 2 (Original Soundtrack),28,2022-09-30
348,Chase Matthew,Love You Again,track,Love You Again,1,2022-12-09
349,Lil Durk,Mad Max,track,Lil Durk Presents: Loyal Bros 2,23,2022-12-16
350,Taylor Swift,"You're On Your Own, Kid",track,Midnights (3am Edition),20,2022-10-22
351,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
352,Ski Mask The Slump God,OOGA BOOGA!,track,OOGA BOOGA!,1,2022-10-25
353,MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),track,Bad Memories (feat. Elley Duhé & FAST BOY),1,2022-07-22
354,Lady Gaga,Hold My Hand,track,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-05-03
355,Big Thief,Change,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
356,d4vd,Dirty Secrets,track,Dirty Secrets,1,2022-04-27
357,ENHYPEN,Future Perfect (Pass the MIC),track,MANIFESTO : DAY 1,6,2022-07-04
358,Huey Mack,Carry Me Home (feat. Charles Wesley Godwin),track,The Cozy Bar,14,2022-10-21
359,Fireboy DML,Peru,track,Playboy,14,2022-08-04
