,Artista,Album,Cancion,Año Lanzamiento,Total tracks
0,IDK,KiCKIN,KiCKIN,2024-09-11,1
1,Free Nationals,Gangsta,Gangsta,2024-02-23,1
2,KAYTRANADA,TIMELESS,Drip Sweat (feat. Channel Tres),2024-06-07,21
3,DaBaby,GRAMMY PARTY,GRAMMY PARTY,2024-02-29,1
4,Maeta,DJ Got Me,DJ Got Me,2024-05-29,1
5,Chance the Rapper,3333,3333,2024-08-30,2
6,SiR,HEAVY,YOU,2024-03-22,16
7,KAYTRANADA,TIMELESS,Seemingly,2024-06-07,21
8,Ryan Oakes,I WISH,I WISH,2024-05-24,1
9,Mac Black,This Is Hip Hop,Farewell,2023-02-07,12
10,MAVI,shadowbox,latch,2024-08-09,14
11,Killer Mike,HUMBLE ME,HUMBLE ME,2024-07-01,1
12,Token,KNOT,KNOT,2023-11-15,5
13,KAYTRANADA,TIMELESS,Stuntin,2024-06-07,21
14,Maeta,Endless Night,DJ Got Me,2024-06-21,7
15,Gus Dapperton,Lil Tune,Lil Tune,2024-02-23,1
16,Blu,Love (the) Ominous World,Undisputed,2024-09-20,12
17,SiR,HEAVY,HEAVY,2024-03-22,16
18,MIKE,Pinball,R&B,2024-03-06,11
19,SiR,HEAVY,ONLY HUMAN,2024-03-22,16
20,Blu,Gold,Gold,2024-09-06,1
21,Megan Thee Stallion,HISS,HISS,2024-02-01,7
22,Campel,Hip-Hip,Hip-Hip,2024-06-03,1
23,Free Nationals,Gangsta,Gangsta,2024-02-23,1
24,FEVER 333,DESERT RAP,DESERT RAP,2024-09-04,4
25,Degiheugi,Remixed Treasures,More Than Abstract Hip-Hop - Mounika. Remix,2023-04-21,13
26,ABRA,SUBI,SUBI,2024-08-21,1
27,Common,Dreamin',Dreamin',2024-06-11,2
28,NLE Choppa,Rap Songs 2024,SLUT ME OUT 2,2024-05-28,44
29,Blu,Love (the) Ominous World,Smack,2024-09-20,12
30,Niontay,Real hiphop,"Real hiphop - feat. Earl Sweatshirt, El Cousteau, & MIKE",2023-10-19,1
31,MIKE,R&B,R&B,2024-02-14,1
32,Yeek,Brand New,Brand New,2024-06-12,1
33,Nate Good,Balance,Balance,2024-09-27,1
34,Common,Wise Up,Wise Up,2024-05-22,1
35,Killer Mike,Michael (Rap Album of the Year),YES!,2024-02-04,25
36,RIMON,Flowers,Flowers,2024-03-21,1
37,Megan Thee Stallion,HISS,HISS,2024-01-25,1
38,Benny The Butcher,BRON,BRON,2024-01-12,1
39,Naughty By Nature,The Naughtiest,Hip Hop Hooray,2024-10-04,10
40,Nate Good,Alive,Alive,2024-09-13,1
41,Blu,Los Angeles,The Land,2024-07-12,13
42,KLIM,Velvet Keys,Velvet Keys,2024-09-06,1
43,Dua Saleh,unruly,unruly,2024-05-29,1
44,Justin Stone,EXPIRE,EXPIRE,2024-07-26,1
45,Jaden,D.U.M.B.,D.U.M.B.,2024-10-04,2
46,SWAVAY,BABY,BABY,2024-02-14,1
47,Rae Khalil,CRYBABY,CRYBABY,2024-08-09,13
48,Ray Lozano,DRAGON,DRAGON,2024-10-09,1
49,Megan Thee Stallion,HISS,HISS,2024-01-31,5
50,emawk,COLOURS,COLOURS,2024-07-19,1
51,Kill Bill: The Rapper,LICK,LICK,2024-06-13,1
52,Blu,Love Is Blu,Love Is Blu,2024-08-16,1
53,Megan Thee Stallion,Cobra (Rock Remix) [feat. Spiritbox],Cobra (Rock Remix) [feat. Spiritbox],2023-11-07,1
54,Smoke DZA,ZAZA,ZAZA,2024-07-26,1
55,Killer Mike,Michael (Rap Album of the Year),MOTHERLESS,2024-02-04,25
56,Kurious,Unknown Species,Unknown Species,2024-08-14,1
57,mynameisntjmack,mynameisnt,newhihat,2024-05-29,11
58,Common,All Kind Of Ideas,All Kind Of Ideas,2024-06-27,3
59,Killer Mike,Michael (Rap Album of the Year),GET SOME MONEY,2024-02-04,25
60,Killer Mike,Michael (Rap Album of the Year),NRICH,2024-02-04,25
61,Killer Mike,Michael (Rap Album of the Year),HIGH & HOLY,2024-02-04,25
62,DaBaby,GRAMMY PARTY,GRAMMY PARTY,2024-02-29,1
63,Ameer Vann,WOOF,GENESIS,2024-08-09,11
64,Don Toliver,Top Rap 2024,Bandit,2024-02-15,35
65,Lava La Rue,STARFACE,Humanity,2024-07-19,17
66,Killer Mike,Michael (Rap Album of the Year),ACT UP,2024-02-04,25
67,Killer Mike,Michael (Rap Album of the Year),MOTHERLESS - Single Version,2024-02-04,25
68,Giraa,Wolves,Wolves,2024-09-13,1
69,Justin Stone,KILLSTREAK,KILLSTREAK,2024-03-01,1
70,Yeat,Gaming Hits 2024,Breathe,2024-05-15,30
71,Eavil,genre:TRAP,Cap,2024-09-02,6
72,Boztown,Younger Game,The Playground,2023-06-09,8
73,Maeta,DJ Got Me,DJ Got Me,2024-06-13,1
74,Rowlan,ACTION,ACTION,2024-07-18,1
75,K.A.A.N.,Nightmare,Nightmare,2024-04-26,1
76,Eavil,genre:TRAP,Sharpmind,2024-09-02,6
77,Wynne,Dirt (Poem),Dirt (Poem),2024-04-26,1
78,Justin Stone,LUCK,LUCK,2024-04-12,1
79,Hemanifezt,THIS IS HIP HOP,THIS IS HIP HOP,2024-09-10,1
80,HotInHipHop,Stuck In The Middle,Stuck In The Middle,2024-08-22,1
81,Murs,Bigger Dreams,Bigger Dreams,2024-05-01,1
