,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
219,Tate McRae,chaotic,track,i used to think i could fly,13,2022-05-27
220,SZA,Used (feat. Don Toliver),track,SOS,23,2022-12-09
221,Vwillz,Falling Slowly,track,Falling Slowly,1,2022-02-25
222,SZA,Gone Girl,track,SOS,23,2022-12-09
223,Taylor Swift,The Great War,track,Midnights (3am Edition),20,2022-10-22
224,Chandler Leighton,When You Say My Name,track,When You Say My Name,1,2022-03-10
225,Lizzy McAlpine,hate to be lame,track,five seconds flat,14,2022-04-08
226,MUNA,Silk Chiffon,track,MUNA,11,2022-06-24
227,Nathan Dawe,21 Reasons (feat. Ella Henderson),track,21 Reasons (feat. Ella Henderson),1,2022-04-29
228,Matt Schuster,Vienna,track,Vienna,1,2022-04-04
229,BTS,Butter,track,Proof,35,2022-06-10
230,BLACKPINK,Pink Venom,track,BORN PINK,8,2022-09-15
231,Post Malone,Wrapped Around Your Finger,track,Twelve Carat Toothache,14,2022-06-03
232,The Weeknd,Sacrifice,track,Dawn FM,16,2022-01-06
233,Koe Wetzel,Cabo,track,Hell Paso,13,2022-09-16
234,Lil Wayne,Sorry 4 The Wait,track,Sorry 4 The Wait,16,2022-01-14
235,ROSALÍA,LA FAMA,track,MOTOMAMI,16,2022-03-18
236,Tyler Hubbard,Dancin’ In The Country,track,Dancin' In The Country,6,2022-08-19
237,Mau y Ricky,Llorar y Llorar - con Carin Leon,track,Llorar y Llorar (con Carin Leon),1,2022-05-31
238,Lainey Wilson,Weak-End,track,Bell Bottom Country,16,2022-11-28
239,Vance Joy,Missing Piece,track,In Our Own Sweet Time,12,2022-06-10
240,Sub Urban,INFERNO,track,HIVE,10,2022-06-03
241,The Weeknd,Take My Breath,track,Dawn FM,16,2022-01-06
242,NAYEON,POP!,track,IM NAYEON,7,2022-06-24
243,beabadoobee,You’re here that’s the thing,track,Beatopia,14,2022-07-15
244,Charlie Puth,Light Switch,track,CHARLIE,12,2022-10-06
245,Jack Harlow,Churchill Downs (feat. Drake),track,Come Home The Kids Miss You,15,2022-05-06
246,Danny Ocean,Fuera del mercado,track,@dannocean,16,2022-02-17
247,Lainey Wilson,Wildflowers and Wild Horses,track,Bell Bottom Country,16,2022-11-28
248,SZA,Used (feat. Don Toliver),track,SOS,23,2022-12-08
249,Koe Wetzel,Creeps,track,Hell Paso,13,2022-09-16
250,Genevieve Stokes,Habits,track,Habits - Demo,2,2022-09-16
251,Rauw Alejandro,MUSEO,track,TRAP CAKE VOL. 2,9,2022-02-25
252,Harry Styles,Grapejuice,track,Harry's House,13,2022-05-20
253,RAYE,Escapism. - Sped Up,track,Escapism.,4,2022-12-07
254,RAYE,Escapism.,track,Escapism.,4,2022-12-07
255,Sebastian Yatra,Pareja Del Año,track,Dharma,17,2022-01-28
256,Shaboozey,Beverly Hills,track,"Cowboys Live Forever, Outlaws Never Die",14,2022-10-07
257,IVE,After LIKE,track,After LIKE,2,2022-08-22
258,Feid,Prohibidox,track,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,15,2022-09-14
259,Sabrina Carpenter,decode,track,emails i can't send,13,2022-07-15
260,Beyoncé,BREAK MY SOUL,track,RENAISSANCE,16,2022-07-29
261,Drake,More M’s,track,Her Loss,16,2022-11-04
262,Beyoncé,ALIEN SUPERSTAR,track,RENAISSANCE,16,2022-07-29
263,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),track,Midnights,13,2022-10-21
264,Gucci Mane,Rumors (feat. Lil Durk),track,So Icy Gang: The ReUp,32,2022-06-17
265,SZA,SOS,track,SOS,23,2022-12-09
266,mgk,ay! (feat. Lil Wayne),track,mainstream sellout,16,2022-03-25
267,BLACKPINK,Typa Girl,track,BORN PINK,8,2022-09-16
268,Jeremih,All The Time (feat. Lil Wayne & Natasha Mosley),track,Late Nights With Jeremih,16,2022-03-11
269,Shawn Mendes,When You're Gone,track,When You're Gone,1,2022-03-31
