,Artista,Pais_origen,Area_origen,Fecha_ini_act,Fecha_fin_act,Genero
123,Spam Allstars,United States,no data,1998,,no data
124,La Mejor Música Electrónica,no data,no data,no data,,no data
125,The Beach Boys,United States,Hawthorne,1961,,no data
126,The G,Los Angeles,no data,no data,,no data
127,Un.Real,Puerto Rico,no data,no data,,no data
128,Flashers,no data,no data,no data,,no data
129,Jhayco,Puerto Rico,Las Piedras,1993-04-09,,male
130,Cafe Latino,no data,no data,no data,,no data
131,Tropiezo,Puerto Rico,no data,no data,,no data
132,Polanco,no data,no data,no data,,male
133,Michelle,Germany,Villingen-Schwenningen,1972-02-15,,female
134,Como Las Movies,Austin,no data,no data,,no data
135,Muchacha,no data,no data,no data,,no data
136,The Astronauts,United States,Boulder,1961,True,no data
137,SLVG,Greece,no data,no data,,male
138,no data,no data,no data,no data,no data,no data
139,no data,no data,no data,no data,no data,no data
140,Kumbia Queers,Argentina,Buenos Aires,2007,,no data
141,Spam Allstars,United States,no data,1998,,no data
142,Cabas,Colombia,Barranquilla,1977-10-07,,male
143,Turista,no data,no data,no data,,no data
144,Chuck Berry,United States,St. Louis,1926-10-18,True,male
145,Tropa,no data,no data,no data,,no data
146,Música Latina,no data,no data,no data,,no data
147,Salsaloco de Cuba,Cuba,no data,no data,,no data
148,kamome sano,Japan,no data,no data,,female
149,Bosques,Argentina,no data,no data,,no data
150,Badshah,India,no data,no data,,male
151,Sukha,Toronto,no data,no data,,no data
152,Various Artists,no data,no data,no data,,no data
153,Dimensión Latina,Venezuela,no data,1972,,no data
154,Daddy Yankee,Puerto Rico,San Juan,1977-02-03,,male
155,Dave Brubeck,United States,Concord,1920-12-06,True,male
156,Aliss Terrell,France,no data,no data,,female
157,Tito “El Bambino”,Puerto Rico,Carolina,1981-10-05,,male
158,Anti Sociales,Puerto Rico,no data,no data,,no data
159,Juventud Crasa,Puerto Rico,no data,1999,,no data
160,Bairoa,Puerto Rico,no data,no data,,male
161,De Romantica’s,Netherlands,no data,no data,,no data
162,UNRB,United States,St. Petersburg,2010,,no data
163,Tracks,York,no data,no data,,male
164,Anitta,Brazil,Rio de Janeiro,1993-03-30,,female
165,Lalo Ebratt,Colombia,Santa Marta,1993-02-03,,male
166,Frontera Bugalú,El Paso,no data,no data,,no data
167,Juanes,Colombia,Medellín,1972-08-09,,male
168,Myke Towers,Puerto Rico,Río Piedras,1994-01-15,,male
169,Ovy on the Drums,Colombia,no data,no data,,male
170,Reik,Mexico,Mexicali,2003,,no data
171,no data,no data,no data,no data,no data,no data
172,Playlist,no data,no data,no data,,no data
173,Matt Lucas,United Kingdom,Paddington,1974-03-05,,male
174,Rema,Nigeria,Nigeria,2000-05-01,,male
175,Sean Paul,Jamaica,Kingston,1973-01-09,,male
176,Elaine Paige,United Kingdom,Barnet,1948-03-05,,female
177,Lele Pons,Venezuela,Caracas,1996-07-25,,female
178,Tavú,no data,no data,1996,,no data
179,Monstercat,Vancouver,Vancouver,2011-07-01,,no data
180,Reykon,Colombia,Envigado,1986-12-12,,male
181,Marisa Monte,Brazil,Rio de Janeiro,1967-07-01,,female
182,Jerry Goldsmith,United States,Pasadena,1929-02-10,True,male
183,NORWAYY,Guadalajara,no data,no data,,no data
184,Lugo,no data,no data,no data,,male
185,Bruce Springsteen,United States,Long Branch,1949-09-23,,male
186,Kefas Brand,Kampala,no data,2001-04-24,,male
187,Kran Max,no data,no data,no data,,no data
188,Maná,Mexico,Guadalajara,1986,,no data
189,RANDO:,Japan,no data,no data,,male
190,Maria McCausland,no data,no data,no data,,female
191,Shonny,no data,no data,no data,,no data
192,Bruna Loppez,Italy,no data,no data,,no data
193,Boundary,Santo Domingo,no data,no data,,male
194,Animal Collective,United States,Baltimore,2000,,no data
195,Demian Von Dunkelwald,no data,no data,no data,,male
196,Ragazzi,Germany,no data,1999,,no data
197,La Cantina,Toulouse,no data,no data,,male
198,Besos,no data,no data,no data,,no data
199,MOÜGLI,Colombia,Colombia,2015-01-01,,no data
200,Destro,United States,no data,no data,,male
201,LoCura,United States,San Francisco,no data,,no data
202,Valentina Lisitsa,United States,Kyïv,1973-12-11,,female
203,[unknown],[Worldwide],no data,no data,,not applicable
204,Ñejo,Puerto Rico,no data,1975-06-20,,male
205,The Marías,Los Angeles,Los Angeles,2016,,no data
206,Un Final Fatal,Puerto Rico,no data,no data,,no data
207,Romy,United Kingdom,no data,no data,,female
208,Sisah,no data,no data,no data,,no data
209,De Luna,no data,no data,no data,,no data
210,Llane,Colombia,Antioquia,1990-01-20,,male
211,Rico Rodriguez,Jamaica,La Habana,1934-10-17,True,male
212,Deuce Eclipse,no data,no data,no data,,no data
213,John Williams,United States,Flushing,1932-02-08,,male
214,Lola Pistola,Puerto Rico,no data,no data,,female
215,Various Artists,no data,no data,no data,,no data
216,Elegante,Peru,no data,no data,,no data
217,Marshmello,United States,Philadelphia,1992-05-19,,male
218,no data,no data,no data,no data,no data,no data
219,Álvaro Díaz,Puerto Rico,San Juan,1995-07-25,,male
220,Ela Minus,Brooklyn,Bogotá,1990-02-11,,female
221,Goth Babe,no data,no data,no data,,no data
222,Elsa y Elmar,Mexico,Bucaramanga,1993-07-31,,female
223,Gizmo Varillas,United Kingdom,Santander,1990-01-09,,male
224,Brytiago,Puerto Rico,Carolina,1992-07-14,,male
225,Chromeo,Canada,Montréal,2001,,no data
226,Miami Sound Machine,United States,no data,1975,,no data
227,Calva Louise,Manchester,London,2016,,no data
228,Twin Seas,Los Angeles,no data,no data,,no data
229,no data,no data,no data,no data,no data,no data
230,Doña,no data,no data,no data,,no data
231,Mabe Fratti,Ciudad de México,Guatemala City,1992,,female
232,Lido Pimienta,Canada,Barranquilla,1986-09-22,,female
233,Klik,no data,no data,no data,,no data
234,Ramona,Tijuana,no data,no data,,no data
235,Ximena Sariñana,Mexico,Guadalajara,1985-10-29,,female
236,Various Artists,no data,no data,no data,,no data
237,Lenny Tavárez,Puerto Rico,no data,1987-05-19,,male
238,YĪN YĪN,Maastricht,no data,2017,,no data
239,Hermes Croatto,Puerto Rico,no data,no data,,male
240,Reyna Tropical,Los Angeles,no data,2016,,no data
241,Cathedral,United Kingdom,Coventry,1989,True,no data
242,Technicolor Fabrics,Mexico,no data,2007,,no data
243,Celia Cruz,Cuba,La Habana,1925-10-21,True,female
244,María Becerra,Argentina,Quilmes,2000-02-12,,female
245,La Lá,Peru,no data,no data,,female
246,Aloisio,no data,no data,no data,,male
