,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
59,Polyphia,Playing God,track,Remember That You Will Die,12,2022-10-28
60,Imagine Dragons,Wrecked,track,Mercury - Acts 1 & 2,32,2022-07-01
61,Jason Aldean,Trouble with a Heartbreak,track,GEORGIA,15,2022-04-22
62,TobyMac,"Rest (feat. Terrian, Gabe Real)",track,Life After Death,15,2022-08-19
63,Chris Tomlin,Holy Forever,track,Always,13,2022-09-09
64,Hozier,Swan Upon Leda,track,Swan Upon Leda,1,2022-10-07
65,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
66,Big Thief,Change,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
67,Dylan Scott,Nobody,track,Livin' My Best Life,16,2022-08-05
68,Jon Pardi,Mr. Saturday Night,track,Mr. Saturday Night,14,2022-09-02
69,Hozier,Blood Upon the Snow,track,God of War Ragnarök (Original Soundtrack),28,2022-11-09
70,Russell Dickerson,God Gave Me A Girl,track,Russell Dickerson,15,2022-11-04
71,Maretu,aishiteitanoni,track,aishiteitanoni,1,2022-08-02
72,Dylan Schneider,Ain't Missin' You,track,Ain't Missin' You,1,2022-09-16
73,Cole Swindell,Never Say Never (with Lainey Wilson),track,Stereotype,13,2022-04-08
74,Bette Midler,One Way or Another (Hocus Pocus 2 Version),track,Hocus Pocus 2 (Original Soundtrack),28,2022-09-30
75,Walker Hayes,AA,track,Country Stuff The Album,13,2022-01-21
76,Midrift,Machina,track,Midrift,5,2022-12-10
77,Imagine Dragons,Lonely,track,Mercury - Acts 1 & 2,32,2022-07-01
78,Whiskey Myers,Heart of Stone,track,Tornillo,12,2022-07-29
79,Polyphia,ABC (feat. Sophia Black),track,Remember That You Will Die,12,2022-10-28
80,Dylan Scott,New Truck,track,Livin' My Best Life,16,2022-08-05
81,Dylan Scott,Can't Have Mine (Find You A Girl),track,Can't Have Mine (Find You A Girl),1,2022-02-18
82,King Clave,Mi Corazón Lloró,track,La Gran Fiesta Formoseña,17,2022-11-14
83,Sam Hunt,Water Under The Bridge,track,Water Under The Bridge,1,2022-06-23
84,Slipknot,The Dying Song (Time To Sing),track,"The End, So Far",12,2022-09-30
85,The Lumineers,A.M. RADIO,track,BRIGHTSIDE,9,2022-01-14
86,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),track,New Gold (feat. Tame Impala and Bootie Brown),1,2022-08-31
87,The 1975,Happiness,track,Being Funny In A Foreign Language,11,2022-10-14
