,Artista,Album,Cancion,Año Lanzamiento,Total tracks
0,Bad Bunny,Un Verano Sin Ti,Tarot,2022-05-06,23
1,Ozuna,Nibiru,Baila Baila Baila,2019-11-29,18
2,Ela Minus,BROKEN,BROKEN,2024-10-02,2
3,Gente De Zona,Muchacha,Muchacha,2020-04-23,1
4,¿Téo?,¡BANG BANG!,DURO,2024-07-26,2
5,¿Téo?,Luna,Don't Stare Too Long,2023-08-18,12
6,Luis Fonsi,Bésame,Bésame,2021-06-04,1
7,¿Téo?,Sol,Buena,2021-06-11,12
8,Luna Luna,Si Una Vez,Si Una Vez,2023-10-27,1
9,Gente De Zona,De Menor a Mayor,Muchacha,2022-04-08,11
10,Ozuna,Tiempo,Tiempo,2021-05-06,1
11,Gente De Zona,Feliz,Feliz,2023-08-30,1
12,Chuwi,Tierra,Mundi,2024-03-23,5
13,¿Téo?,Luna,A Mi Cama,2023-08-18,12
14,Becky G,ESQUEMAS,GUAPA,2022-05-13,14
15,Mima,Bachaqué,Bachaqué,2023-11-19,1
16,Chuwi,Pan,Tikiri,2022-10-28,4
17,Mayani Swave,Playlist,Playlist,2023-12-08,1
18,Fusion Latina,A + Q,A + Q,2024-07-19,1
19,Ozuna,Cosmo,La 65,2023-11-17,15
20,Metro Boomin,Top Canciones LATAM,Creepin',2023-09-01,30
21,¿Téo?,Luna,La Espera,2023-08-18,12
22,Tiago PZK,Latino Hits 2024,Piel,2024-03-16,44
23,Chuwi,Pan,Uwu,2022-10-28,4
24,Ozuna,Nibiru,Danzau,2019-11-29,18
25,Mima,El arca de Mima,El arca de Mima,2021-06-13,1
26,La Banda Algarete,"Algaretetime , Algaretetime",Algaretetime,2012-01-21,8
27,Gente De Zona,De Menor a Mayor,Ella,2022-04-08,11
28,Okan,Okantomi,Okantomi,2023-11-08,9
29,Danny Ocean,Latino Hits 2024,AMOR,2024-03-16,44
30,Mima,La máquina patinaba,La máquina patinaba,2014-12-02,1
31,Ozuna,Un Reel,Un Reel,2022-10-06,1
32,Danny Ocean,Latino Hits 2024,Brisa,2024-03-16,44
33,Luna Luna,L.L.,La Calma,2023-09-29,6
34,Balún,Prisma Tropical,Pulsos (feat. Antibalas Horns),2018-07-20,16
35,KAROL G,ODISEA,ODISEA,2021-03-25,1
36,Los Petardos!,Can-Can,Azul,2023-06-30,7
37,Almas Band,LINEN,LINEN,2021-05-07,1
38,Elsa y Elmar,VISTO,VISTO,2024-06-07,3
39,Pachyman,Switched-On,Nua!,2023-09-29,10
40,Seba Otero,Salitre,Salitre,2022-11-04,8
41,Black Guayaba,La Fábrica de Sueños,Vámono',2024-05-24,7
42,Sofía Reyes,Latino Hits 2024,tqum,2024-03-16,44
43,Black Guayaba,La Fábrica de Sueños,Sueño Contigo,2024-05-24,7
44,Prettiest Eyes,Pools,Don't Call,2017-11-03,12
45,Ximena Sariñana,Latino Hits 2024,¿Qué tiene?,2024-03-16,44
46,iLe,Almadura,De Luna,2019-05-10,12
