,genero_musica,artista,listeners,playcount,biografia,artistas_similares
16,hiphop,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
17,hiphop,Logic,1436470,84605082,"Sir Robert Bryson Hall II (born January 22, 1990), known by his stage name Logic, is an American rapper, singer, songwriter, and record producer. Raised in Gaithersburg, Maryland, Logic developed an interest in music as a teenager and ventured into a musical career in early 2009 releasing Logic: The Mixtape under the name ""Psychological"", and releasing a mixtape titled Young, Broke & Infamous in 2010. He signed with Visionary Music Group, before releasing three more mixtapes over three years. <a href=""https://www.last.fm/music/Logic"">Read more on Last.fm</a>","['Joyner Lucas', 'Cordae', 'SILAS', 'Big Sean']"
19,hiphop,Ka,160204,5005238,"Kaseem Ryan (born August 11, 1972, died October 12th, 2024), better known by his stage name Ka, was an American rapper, producer, and firefighter from Brownsville, Brooklyn, New York City, New York.
He was a former member of the group Natural Elements. In 1998 he formed the group Nightbreed with his friend Kev. In 2008, he was re-introduced on GZA's album Pro Tools on the song ""Firehouse"" and in that same year he released his debut album Iron Works. <a href=""https://www.last.fm/music/Ka"">Read more on Last.fm</a>","['Dr. Yen Lo', 'Roc Marciano', 'Mach-Hommy', 'E L U C I D']"
20,hiphop,DJ Feedo,401,1173," <a href=""https://www.last.fm/music/DJ+Feedo"">Read more on Last.fm</a>","['Krispel', 'Gifted Hands', 'Adela Brit', 'Kane Comfort']"
22,hiphop,Kid Cudi,4055888,221447116,"Scott Ramon Seguro Mescudi (born January 30, 1984 in Shaker Heights, Ohio, United States), better known by his stage name KiD CuDi, is a Grammy award nominated rapper, singer and actor who first gained attention after the release of his debut mixtape A Kid Named Cudi which he released in 2008 in collaboration with New York street wear brand 10.Deep. The mixtape caught the attention of Kanye West and led to Cudi's signing to the G.O.O.D. Music Label. <a href=""https://www.last.fm/music/Kid+Cudi"">Read more on Last.fm</a>","['KIDS SEE GHOSTS', 'Kanye West', 'Pusha T', 'A$AP Rocky']"
25,hiphop,Guilty Simpson,144337,1773708,"Guilty Simpson was born in Detroit, the son and grandson of the family’s performing musicians in his father and grandfather. At age four, Simpson and his mother began traveling with an aunt in the military, living in California and Birmingham, Alabama, before settling back in the Motor City at 15. Big Daddy Kane, N.W.A, and Scarface were all major influences, but it was Queens-bred street bard Kool G Rap who made the biggest impression. “That’s my crème de la crème rapper right there <a href=""https://www.last.fm/music/Guilty+Simpson"">Read more on Last.fm</a>","['Sean Price', 'Torae', 'Diamond D', 'Jaylib']"
26,hiphop,Kurious,25525,177211,"Kurious is a Puerto Rican rapper hailing from Spanish Harlem, New York City. He made his first notable appearance on the album ""Black Bastards"" by socially conscious, New York rap trio KMD. Since then he's kept a tight connection to MF Doom, the Monsta Island Czars and MF Grimm, and released his debut solo album titled ""A Constipated Monkey"" in 1994. 

The title suggests Kurious packs ""hard shit"" in his lyrics, and he adds a Latin flavor to his songs. <a href=""https://www.last.fm/music/Kurious"">Read more on Last.fm</a>","['Godfather Don', 'L the Head Toucha', 'Flying Pupa', 'Artifacts']"
27,hiphop,Naughty By Nature,658939,5308451,"Naughty by Nature is a hip hop group that at the time of its formation in 1991, consisted of Treach, Vinnie, and the DJ Kay Gee. 

The group formed in East Orange, New Jersey, and first appeared on the music scene in the late 1980's releasing an album titled The Independent Leaders, under their then name The New Style. The album generated the minor hit ""Scuffin' Those Knees"". After the release of their first album, the group was subsequently mentored by fellow New Jersey native Queen Latifah and consequently changed their name. <a href=""https://www.last.fm/music/Naughty+By+Nature"">Read more on Last.fm</a>","['House of Pain', 'Das EFX', 'LL Cool J', 'EPMD']"
29,hiphop,Swavay,71668,668898," <a href=""https://www.last.fm/music/Swavay"">Read more on Last.fm</a>","['Kenny Mason', 'Childish Major', 'JID', 'Saba']"
33,hiphop,P-Lo,75205,728546,"P-Lo, born Paolo Rodriguez is a producer/rapper from the Bay Area. He is a founding member of the HBK Gang, which includes the likes of Kehlani, Iamsu!, and Sage the Gemini.

As well as releasing his own music, P-Lo has produced numerous charting singles which include Flo-Rida’s ‘GDFR’, Sage Gemini’s ‘Gas Pedal’ and Yo Gotti’s ‘Act Right’. <a href=""https://www.last.fm/music/P-Lo"">Read more on Last.fm</a>","['Iamsu!', 'NEF The Pharaoh', 'Berner', 'E-40']"
